rule_id,conditions,triage_decision,flags,reasons,guideline_reference,priority,source_module
MOD-01,cough = True AND cough_duration_days ge 14,hospital,danger_sign,cough_duration_exceeds_limit,WHO-IMCI-2014-MOD-01,100,dmn_module_a
MOD-01,blood_in_stool = True,hospital,danger_sign,blood_in_stool,WHO-IMCI-2014-MOD-01,100,dmn_module_a
MOD-01,chest_indrawing = True,hospital,danger.sign,severe_pneumonia,WHO-IMCI-2014-MOD-01,100,dmn_module_a
MOD-01,cannot_drink_feed eq True,hospital,danger.sign,cannot_drink_feed,WHO-IMCI-2014-MOD-01,100,dmn_module_a
MOD-01,danger_sign = True,hospital,danger.sign,child_has_danger_sign,WHO-IMCI-2014-MOD-01,100,dmn_module_a
MOD-01,danger_sign eq True,hospital,danger_sign,urgent_referral,WHO-IMCI-2014-MOD-01,100,dmn_module_a
MOD-01,chest_indrawing = True AND fast_breathing = True,hospital,danger_sign,chest_indrawing_or_fast_breathing,WHO-IMCI-2014-MOD-01,100,dmn_module_a
MOD-01,danger_sign eq True,hospital,danger.sign,refer_urgently,WHO-IMCI-2014-MOD-01,100,dmn_module_a
MOD-01,breath_rate ge 40 AND cough = True,hospital,danger.sign,fast_breathing,WHO-IMCI-2014-MOD-01,100,dmn_module_a
MOD-01,temp ge 37.5,hospital,danger.sign,fever_high,WHO-IMCI-2014-MOD-01,100,dmn_module_a
MOD-02,diarrhea = True AND diarrhea_duration_days ge 14,hospital,danger_sign,diarrhea_duration_exceeds_limit,WHO-IMCI-2014-MOD-02,100,dmn_module_a
MOD-02,fever_days lt 7 AND in_malaria_area = True,hospital,danger_sign,fever_less_than_7_days_in_malaria_area,WHO-IMCI-2014-MOD-02,100,dmn_module_a
MOD-02,temp ge 38 AND fever = True AND muac_mm lt 125,hospital,danger_sign,fever_high_muac_low,WHO-IMCI-2014-MOD-02,100,dmn_module_a
MOD-02,diarrhea_days lt 14 AND blood_in_stool = True,hospital,danger.sign,diarrhea_with_blood,WHO-IMCI-2014-MOD-02,100,dmn_module_a
MOD-02,becomes_sicker eq True,hospital,danger.sign,becomes_sicker,WHO-IMCI-2014-MOD-02,100,dmn_module_a
MOD-02,convulsion = True,hospital,danger.sign,convulsion_present,WHO-IMCI-2014-MOD-02,100,dmn_module_a
MOD-03,blood_in_stool = True,hospital,danger_sign,presence_of_blood_in_stool,WHO-IMCI-2014-MOD-03,100,dmn_module_a
MOD-03,resp_rate gt 60,hospital,danger_sign,fast_breathing,WHO-IMCI-2014-MOD-03,100,dmn_module_a
MOD-03,cough eq True AND resp_rate ge 50,hospital,danger.sign,fast_breathing_sign_of_pneumonia,WHO-IMCI-2014-MOD-03,100,dmn_module_a
MOD-03,blood_in_stool eq True,hospital,danger.sign,blood_in_stool,WHO-IMCI-2014-MOD-03,100,dmn_module_a
MOD-03,fever eq True AND convulsions = True,hospital,danger_sign,fever_with_convulsions,WHO-IMCI-2014-MOD-03,100,dmn_module_a
MOD-03,diarrhea_days ge 3 AND blood_in_stool = True,hospital,danger_sign,diarrhea_with_blood_in_stool,WHO-IMCI-2014-MOD-03,100,dmn_module_a
MOD-03,diarrhea_days ge 14 AND blood_in_stool = True,hospital,danger.sign,diarrhea_with_blood,WHO-IMCI-2014-MOD-03,100,dmn_module_a
MOD-03,unusually_sleepy = True,hospital,danger.sign,unusually_sleepy,WHO-IMCI-2014-MOD-03,100,dmn_module_a
MOD-04,fever_duration_days ge 7,hospital,danger_sign,fever_duration_exceeds_limit,WHO-IMCI-2014-MOD-04,100,dmn_module_a
MOD-04,muac_mm lt 115,hospital,danger_sign,yellow_on_muac_strap,WHO-IMCI-2014-MOD-04,100,dmn_module_a
MOD-04,cough ge 14,hospital,danger.sign,cough_for_14_days_or_more,WHO-IMCI-2014-MOD-04,100,dmn_module_a
MOD-04,unusually_sleepy = True,hospital,danger.sign,unusually_sleepy_or_unconscious,WHO-IMCI-2014-MOD-04,100,dmn_module_a
MOD-04,cough = True AND fast_breathing = True AND danger_sign = True,hospital,danger_sign,immediate_referral_needed,WHO-IMCI-2014-MOD-04,100,dmn_module_a
MOD-04,fever eq True AND unusually_sleepy = True,hospital,danger_sign,fever_with_sleepiness,WHO-IMCI-2014-MOD-04,100,dmn_module_a
MOD-04,muac_mm lt 125,hospital,danger_sign,muac_below_threshold,WHO-IMCI-2014-MOD-04,100,dmn_module_a
MOD-04,fever_days ge 7 AND unusually_sleepy = True,hospital,danger.sign,fever_for_more_than_7_days,WHO-IMCI-2014-MOD-04,100,dmn_module_a
MOD-04,not_able_to_drink = True,hospital,danger.sign,unable_to_drink,WHO-IMCI-2014-MOD-04,100,dmn_module_a
MOD-05,convulsion = True,hospital,danger_sign,presence_of_convulsion,WHO-IMCI-2014-MOD-05,100,dmn_module_a
MOD-05,feels_very_hot = True,hospital,danger_sign,feels_very_hot,WHO-IMCI-2014-MOD-05,100,dmn_module_a
MOD-05,diarrhea_days ge 14,hospital,danger.sign,diarrhea_for_14_days_or_more,WHO-IMCI-2014-MOD-05,100,dmn_module_a
MOD-05,unconscious = True,hospital,danger.sign,unconscious,WHO-IMCI-2014-MOD-05,100,dmn_module_a
MOD-05,temp ge 38 AND cough = True AND diarrhea_days ge 3,hospital,danger_sign,fever_with_cough_and_diarrhea,WHO-IMCI-2014-MOD-05,100,dmn_module_a
MOD-05,difficulty_breathing eq True,hospital,danger.sign,difficulty_breathing,WHO-IMCI-2014-MOD-05,100,dmn_module_a
MOD-05,fever eq True AND not_able_to_drink = True,hospital,danger_sign,fever_with_drinking_issue,WHO-IMCI-2014-MOD-05,100,dmn_module_a
MOD-05,vomits_everything = True,hospital,danger.sign,vomiting_everything,WHO-IMCI-2014-MOD-05,100,dmn_module_a
MOD-06,not_able_to_drink_or_eat = True,hospital,danger_sign,unable_to_drink_or_eat,WHO-IMCI-2014-MOD-06,100,dmn_module_a
MOD-06,convulsion = True,hospital,danger_sign,convulsion,WHO-IMCI-2014-MOD-06,100,dmn_module_a
MOD-06,blood_in_stool eq True,hospital,danger.sign,diarrhea_with_blood_in_stool,WHO-IMCI-2014-MOD-06,100,dmn_module_a
