rule_id,conditions,triage_decision,flags,reasons,guideline_reference,priority
MOD-01,cough = True AND cough_duration_days ge 14,hospital,danger_sign,cough_duration_exceeds_limit,WHO-IMCI-2014-MOD-01,100
MOD-02,diarrhea = True AND diarrhea_duration_days ge 14,hospital,danger_sign,diarrhea_duration_exceeds_limit,WHO-IMCI-2014-MOD-02,100
MOD-03,blood_in_stool = True,hospital,danger_sign,presence_of_blood_in_stool,WHO-IMCI-2014-MOD-03,100
MOD-04,fever_duration_days ge 7,hospital,danger_sign,fever_duration_exceeds_limit,WHO-IMCI-2014-MOD-04,100
MOD-05,convulsion = True,hospital,danger_sign,presence_of_convulsion,WHO-IMCI-2014-MOD-05,100
MOD-06,not_able_to_drink_or_eat = True,hospital,danger_sign,unable_to_drink_or_eat,WHO-IMCI-2014-MOD-06,100
MOD-07,vomits_everything = True,hospital,danger_sign,vomiting_all,WHO-IMCI-2014-MOD-07,100
MOD-08,chest_indrawing = True,hospital,danger_sign,chest_indrawing_present,WHO-IMCI-2014-MOD-08,100
MOD-09,unusually_sleepy_or_unconscious = True,hospital,danger_sign,unusual_sleepiness_or_unconsciousness,WHO-IMCI-2014-MOD-09,100
MOD-11,swelling_of_both_feet = True,hospital,danger_sign,swelling_of_both_feet,WHO-IMCI-2014-MOD-11,100
MOD-01,blood_in_stool = True,hospital,danger_sign,blood_in_stool,WHO-IMCI-2014-MOD-01,100
MOD-02,fever_days lt 7 AND in_malaria_area = True,hospital,danger_sign,fever_less_than_7_days_in_malaria_area,WHO-IMCI-2014-MOD-02,100
MOD-03,resp_rate gt 60,hospital,danger_sign,fast_breathing,WHO-IMCI-2014-MOD-03,100
MOD-04,muac_mm lt 115,hospital,danger_sign,yellow_on_muac_strap,WHO-IMCI-2014-MOD-04,100
MOD-05,feels_very_hot = True,hospital,danger_sign,feels_very_hot,WHO-IMCI-2014-MOD-05,100
MOD-06,convulsion = True,hospital,danger_sign,convulsion,WHO-IMCI-2014-MOD-06,100
MOD-07,edema_both_feet = True,hospital,danger_sign,edema_both_feet,WHO-IMCI-2014-MOD-07,100
