rule_id,conditions,triage_decision,flags,reasons,guideline_reference,priority
MOD-12,diarrhea_duration_days lt 14,clinic,clinic_referral,diarrhea_duration_under_limit,WHO-IMCI-2014-MOD-12,50
MOD-08,diarrhea_days ge 3,clinic,clinic_referral,diarrhea_more_than_3_days,WHO-IMCI-2014-MOD-08,90
MOD-09,temp ge 38.5,clinic,clinic_referral,high_fever,WHO-IMCI-2014-MOD-09,90
MOD-03,difficulty_drinking eq 1,clinic,clinic_referral,difficulty_drinking,WHO-IMCI-2014-MOD-03,80
MOD-04,vomiting eq 1,clinic,clinic_referral,vomiting_present,WHO-IMCI-2014-MOD-04,80
MOD-05,diarrhea eq 1,clinic,clinic_referral,diarrhea_present,WHO-IMCI-2014-MOD-05,80
MOD-13,muac_yellow eq 1,clinic,clinic_referral,muac_yellow,WHO-IMCI-2014-MOD-13,2
MOD-11,cough_days ge 14,clinic,,cough_for_14_days_or_more,WHO-IMCI-2014-MOD-11,80
MOD-12,diarrhea_days ge 14,clinic,,diarrhea_for_14_days_or_more,WHO-IMCI-2014-MOD-12,80
MOD-13,diarrhea_days lt 14 AND blood_in_stool = False,clinic,,diarrhea_less_than_14_days_no_blood,WHO-IMCI-2014-MOD-13,80
MOD-14,fever_days = True,clinic,,fever_less_than_7_days_in_malaria_area,WHO-IMCI-2014-MOD-14,80
MOD-15,breaths_per_minute ge 50 AND age_months le 12,clinic,,fast_breathing_age_2_to_12_months,WHO-IMCI-2014-MOD-15,80
MOD-16,breaths_per_minute ge 40 AND age_months gt 12,clinic,,fast_breathing_age_12_months_to_5_years,WHO-IMCI-2014-MOD-16,80
MOD-17,muac_color eq yellow,clinic,,yellow_on_muac_strap,WHO-IMCI-2014-MOD-17,80
MOD-18,danger_signs_present eq False,home,,no_danger_signs,WHO-IMCI-2014-MOD-18,70
MOD-03,temp ge 38 AND fever = True AND muac_mm ge 125,clinic,clinic_referral,fever_high_muac_normal,WHO-IMCI-2014-MOD-03,80
MOD-04,temp lt 38 AND diarrhea_days = True,home,,diarrhea_3_days_no_fever,WHO-IMCI-2014-MOD-04,70
MOD-06,temp ge 38 AND cough = True AND diarrhea_days lt 3,clinic,clinic_referral,fever_with_cough_less_than_3_days,WHO-IMCI-2014-MOD-06,80
MOD-07,temp lt 38 AND cough = True AND diarrhea_days lt 3,home,,cough_less_than_3_days_no_fever,WHO-IMCI-2014-MOD-07,60
